x,y
19,63
99,57
32,67
9,19
16,31
35,39
4,7
88,1
33,63
45,74
85,47
39,54
52,35
8,40
33,12
32,65
34,68
44,76
83,79
72,26
57,65
34,83
71,87
55,74
69,65
4,4
95,26
78,50
96,27
37,56
2,74
88,70
86,9
13,55
70,65
85,28
38,62
73,7
42,18
66,97
23,63
90,61
44,41
82,66
57,29
47,64
18,75
60,5
84,65
99,9
15,83
68,5
90,49
41,97
13,63
94,33
54,83
16,79
65,74
41,65
51,99
96,39
74,95
91,100
97,83
75,61
71,27
46,25
11,66
72,52
97,32
12,79
16,99
95,87
84,43
56,96
11,69
99,1
4,73
67,1
34,92
30,5
96,62
21,80
76,58
41,52
44,92
14,28
100,84
46,42
100,16
36,70
62,58
33,30
34,54
77,5
87,35
56,51
24,69
80,80
